,SEARCHVAL,LATITUDE,LONGITUDE
274,BOON KENG MRT STATION EXIT A,1.32011584986812,103.861504484655
275,BUGIS MRT STATION EXIT A,1.30120408934977,103.855924081071
276,BUKIT GOMBAK MRT STATION EXIT A,1.35906993952012,103.752067334531
277,BUONA VISTA MRT STATION EXIT A,1.30734059031479,103.790448798318
278,CANBERRA MRT STATION EXIT A,1.44378209457473,103.829452068775
279,CHANGI AIRPORT MRT STATION EXIT A,1.35634142135844,103.989276642386
280,CHINATOWN MRT STATION EXIT A,1.28373507204208,103.843753409155
281,CHINESE GARDEN MRT STATION EXIT A,1.34244084264959,103.732224636444
282,CITY HALL MRT STATION EXIT A,1.2932330759348,103.853021562271
283,DAKOTA MRT STATION EXIT A,1.3088256193048,103.889298048161
284,JOO KOON MRT STATION EXIT A,1.32750377971587,103.67852468431
285,HOLLAND VILLAGE MRT STATION EXIT A,1.31122356458793,103.79613442284
286,EXPO MRT STATION EXIT A,1.33549209937205,103.961832230438
287,FARRER ROAD MRT STATION EXIT A,1.31749532301993,103.80796658755
288,KING ALBERT PARK MRT STATION EXIT A,1.33554323043496,103.783018890137
289,GEYLANG BAHRU MRT STATION EXIT A,1.32156657295526,103.871560444143
290,HARBOURFRONT MRT STATION EXIT A,1.26601026056903,103.820474550192
291,SOMERSET MRT STATION EXIT A,1.30003194313604,103.838385643936
292,PASIR PANJANG MRT STATION EXIT A,1.27600897747748,103.792033824349
293,ALJUNIED MRT STATION EXIT A,1.31623848507352,103.882496650859
294,ANG MO KIO MRT STATION EXIT A,1.36946470665767,103.849939000494
295,BAYFRONT MRT STATION EXIT A,1.28127519755786,103.858901011605
296,BEAUTY WORLD MRT STATION EXIT A,1.34169768144374,103.77597845088
297,BEDOK MRT STATION EXIT A,1.32356863626393,103.92915714301
298,BEDOK NORTH MRT STATION EXIT A,1.33516634096411,103.918038975838
299,BEDOK RESERVOIR MRT STATION EXIT A,1.33635797475902,103.932853678147
300,SENGKANG MRT STATION EXIT A,1.39182911978883,103.895405721181
301,BENCOOLEN MRT STATION EXIT A,1.29920140046322,103.850838318577
302,BENDEMEER MRT STATION EXIT A,1.31387432884477,103.863062802793
303,PIONEER MRT STATION EXIT A,1.3373429390716,103.697143068046
304,POTONG PASIR MRT STATION EXIT A,1.33281336557443,103.868967364441
305,PUNGGOL MRT STATION EXIT A,1.40535672476823,103.902277867411
306,RAFFLES PLACE MRT STATION EXIT A,1.28412514799439,103.851438353944
307,REDHILL MRT STATION EXIT A,1.28936748461912,103.816997605512
308,MOUNTBATTEN MRT STATION EXIT A,1.30676211145182,103.882606383464
309,NICOLL HIGHWAY MRT STATION EXIT A,1.30017456235547,103.863504714405
