StationName,Lat,Lon,StationCode
BARTLEY MRT STATION (CC12),1.34250117805245,103.880177899184,(CC12)
MARYMOUNT MRT STATION (CC16),1.348707263451,103.839423132332,(CC16)
YEW TEE MRT STATION (NS5),1.39753506936297,103.747405150236,(NS5)
JOO KOON MRT STATION (EW29),1.3277170408447,103.678374996165,(EW29)
GUL CIRCLE MRT STATION (EW30),1.31947090075208,103.660530461345,(EW30)
TUAS CRESCENT MRT STATION (EW31),1.32102695598684,103.649078235627,(EW31)
BUKIT PANJANG MRT STATION (DT1),1.37900211641036,103.761535114929,(DT1)
ADMIRALTY MRT STATION (NS10),1.44058856161847,103.800990519771,(NS10)
CHANGI AIRPORT MRT STATION (CG2),1.35747897447692,103.98788356959,(CG2)
PUNGGOL MRT STATION (NE17),1.40454653668991,103.902072622229,(NE17)
KRANJI MRT STATION (NS7),1.42508698073648,103.762137459497,(NS7)
SPRINGLEAF MRT STATION (TE4),1.39758106126824,103.817856949947,(TE4)
OCBC HARBOURFRONT MRT STATION (CIRCLE LINE),1.26506998552193,103.821667373619,LINE)
OCBC BUONA VISTA MRT STATION (CIRCLE LINE),1.30663450459747,103.79070940498,LINE)
SENGKANG LRT STATION (STC),1.39160936379906,103.895442583336,(STC)
CHENG LIM LRT STATION (SW1),1.39627763344324,103.893797181731,(SW1)
PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,(BP8)
IMBIAH LRT STATION (S3),1.25391552659623,103.819453456744,(S3)
BEACH LRT STATION (S4),1.25129010193548,103.817802340363,(S4)
FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,(SW5)
TECK WHYE LRT STATION (BP4),1.37668467920808,103.753712232337,(BP4)
COMPASSVALE LRT STATION (SE1),1.39449304450373,103.900492450944,(SE1)
SAM KEE LRT STATION (PW1),1.40961268528804,103.904831550608,(PW1)
TECK LEE LRT STATION (PW2),1.4127708937463,103.906577622768,(PW2)
LAYAR LRT STATION (SW6),1.39207983659997,103.880029600546,(SW6)
BUKIT PANJANG LRT STATION (BP6),1.37792694616982,103.763102931112,(BP6)
CHOA CHU KANG LRT STATION (BP1),1.38475541089131,103.74453769781,(BP1)
BANGKIT LRT STATION (BP9),1.38002223010088,103.772647370452,(BP9)
KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,(SE4)
SOO TECK LRT STATION (PW7),1.40532331860455,103.897290522033,(PW7)
KEAT HONG LRT STATION (BP3),1.3786032506373,103.749055668925,(BP3)
RANGGUNG LRT STATION (SE5),1.38423355918277,103.897194667804,(SE5)
PETIR LRT STATION (BP7),1.37777204259082,103.766645782497,(BP7)
SUMANG LRT STATION (PW6),1.40845241943079,103.898558450395,(PW6)
FARMWAY LRT STATION (SW2),1.39717019591821,103.889304824196,(SW2)
FAJAR LRT STATION (BP10),1.38457317668026,103.770887223018,(BP10)
DAMAI LRT STATION (PE7),1.40523483636957,103.908603542566,(PE7)
PHOENIX LRT STATION (BP5),1.37861545104083,103.757995558346,(BP5)
RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,(PE4)
THANGGAM LRT STATION (SW4),1.39731815581938,103.875635154729,(SW4)
NIBONG LRT STATION (PW5),1.41185447744238,103.900339452055,(PW5)
COVE LRT STATION (PE1),1.39928198837342,103.905961941214,(PE1)
SOUTH VIEW LRT STATION (BP2),1.38029828742399,103.745291799824,(BP2)
BAKAU LRT STATION (SE3),1.38799431054768,103.905415300171,(SE3)
OASIS LRT STATION (PE6),1.40228667971123,103.912727352412,(PE6)
SEGAR LRT STATION (BP11),1.38778508663361,103.769599685249,(BP11)
RENJONG LRT STATION (SW8),1.38670058991904,103.89062131608,(SW8)
TONGKANG LRT STATION (SW7),1.38934794658941,103.885844150116,(SW7)
RUMBIA LRT STATION (SE2),1.39146849534132,103.90597359341,(SE2)
MERIDIAN LRT STATION (PE2),1.3969120498774,103.908950224489,(PE2)
KUPANG LRT STATION (SW3),1.39821283031379,103.881256222255,(SW3)
KADALOOR LRT STATION (PE5),1.39950910636258,103.916574974234,(PE5)
SAMUDERA LRT STATION (PW4),1.41590172160383,103.902156317163,(PW4)
JELAPANG LRT STATION (BP12),1.38673926997961,103.76453408646,(BP12)
SENJA LRT STATION (BP13),1.38272547134453,103.76234425472,(BP13)
PUNGGOL LRT STATION (PTC),1.40519470149606,103.902411911915,(PTC)
CORAL EDGE LRT STATION (PE3),1.39390922863313,103.912580845515,(PE3)
PUNGGOL POINT LRT STATION (PW3),1.41684852031206,103.906650789313,(PW3)
