car_park_no,address,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,Lat,Lon
BE6,BLK 135/138 BISHAN STREET 12,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2881801248493199,103.90808568598146
BE7,BLK 139-144 BISHAN STREET 12,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.28932702282533,103.90834056167394
BE8,"BLK 145-150A, 151 BISHAN STREET 11",SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2916337630351638,103.90777600117
BE9,BLK 153-167 BISHAN STREET 13,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2925072275273681,103.91049230162258
BH1,BLK 1 THOMSON ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.278696422986051,103.88845581766226
BH2,BLK 2 BALESTIER ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.2789997221792522,103.88950363804086
BJAL,BLK 517 - 519 JELAPANG ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.201713283291614,103.95100266309987
BJBL,BLK 533 - 534 BUKIT PANJANG RING ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.199608442794739,103.94705654687161
BJMP,BLK 259B BANGKIT ROAD,MECHANISED CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,15,2.15,N,1.209305580628216,103.94088871251938
BJ1,BLK 130-140 CASHEW ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.2050863953660425,103.93710356671984
BJ10,BLK 234-241 BUKIT PANJANG RING ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.2064270660124785,103.94205394632596
