car_park_no,address,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,Lat,Lon
PR10,BLK 467/477 PASIR RIS DRIVE 6,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3941571198854654,103.93689730436847
PR11,BLK 478/487 PASIR RIS DRIVE 4,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.3963787525269697,103.93761158481412
PR12,BLK 544/556 PASIR RIS STREET 51,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.3896287127631521,103.93190376277187
PR13,"BLK 537-543, 564-569 PASIR RIS STREET 51",SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.3865447413461374,103.93266129936823
PR14,BLK 557-562 PASIR RIS STREET 51,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N,1.3884309480072687,103.92988902571118
PR2,BLK 109/129 PASIR RIS STREET 11,SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3924064621542858,103.93047433285112
PR3,BLK 531/536 PASIR RIS DRIVE 1/PASIR RIS CENTRAL,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.387648470674646,103.93423828098285
PR4,BLK 406/411 PASIR RIS DRIVE 6,SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.391477686866575,103.93609788606217
PR5,"BLK 405/406, 412/429 PASIR RIS DRIVE 6",SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3920783225192526,103.93368708128743
PR6,BLK 441/445 PASIR RIS DRIVE 6,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3945713556209514,103.93256533065724
PR7,BLK 446/455 PASIR RIS DRIVE 6,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.0,N,1.3946628666267982,103.93418526542571
PR8,BLK 456/461 PASIR RIS DRIVE 4,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N,1.396564359448362,103.93444222140886
PR9,BLK 463/466 PASIR RIS STREET 41,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0.0,N,1.3954382977506845,103.9363671846715
P1,BLK 196 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.3436726616225811,103.96232666651679
P11,BLK 416 PANDAN GARDENS,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.183983697821682,103.88469269431711
P12,BLK 415 PANDAN GARDENS,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.1838208794864422,103.88406000243903
P13,BLK 401/402 PANDAN GARDENS,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.186048954634019,103.88418193790503
P14,BLK 403/408 PANDAN GARDENS,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.1848085144086518,103.88285407203053
P15,BLK 413 PANDAN GARDENS,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.1837746507858784,103.88333217627165
P16,BLK 412/414 PANDAN GARDENS,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.1827849171120088,103.88337944238255
P17,BLK 409/411 PANDAN GARDENS,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.1830054790767457,103.88232539822643
P2,BLK 199 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.3426712940137413,103.96308941880226
P3,BLK 101 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,1.3424154301173943,103.96145219316543
P34L,PUNGGOL ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N,1.3440735698700503,103.96748190532128
P35L,PUNGGOL CENTRAL,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N,1.344275033248322,103.96521308756066
P4,BLK 105 EDGEFIELD PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.3422629970464495,103.960230398902
P40L,BLK 740 TO 745 PASIR RIS STREET 71,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.2,N,1.3727698282230019,103.9412297007823
P5,BLK 107 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.3442950158784852,103.95988320358988
P5L,BLK 106A PUNGGOL FIELD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N,1.3444041843250698,103.96048549158496
P6,BLK 109 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.346127304499434,103.9583840551717
P6L,BLK 109B PUNGGOL FIELD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N,1.3467547058040539,103.95861231770667
P7,BLK 119 EDGEFIELD PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,1.3431158518501929,103.95844282309534
P71L,BLK 684A & 684B EDGEDALE PLAINS,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N,1.3526083472226307,103.96599851135566
P73L,BLK 229A & 229B SUMANG LANE,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0.0,N,1.3284989701748466,103.96570463956832
P76L,BLK 327A SUMANG WALK,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N,1.335837365834355,103.97522732597896
P77L,BLK 659 PUNGGOL EAST,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N,1.3560256018522565,103.96309799512906
P8,BLK 126 EDGEDALE PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.347588305772673,103.95725136984659
P9,BLK 128 PUNGGOL FIELD WALK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.3492224171030809,103.95595534882695
Q14,BLK 49 STIRLING ROAD,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.2381440560437442,103.8612712005031
Q15,BLK 41/48 STIRLING ROAD,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.23772776928942,103.8619685401704
Q16,BLK 45 AND 50 STIRLING ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.239702736595686,103.86057872431526
Q17,BLK 52 STIRLING ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.2398113582316566,103.85985604246784
Q19,BLK 151 MEI LING STREET,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0.0,N,1.239241093791779,103.85836042571601
Q2A,BLK 155-164 STIRLING ROAD,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.2403770885378937,103.8553267585241
Q30,MARGARET DRIVE,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.2447954085472015,103.85948266483564
Q4,BLK 168A QUEENSWAY,SURFACE CAR PARK,COUPON PARKING,NO,NO,YES,0,0.0,N,1.2398956290919847,103.85241179019555
Q41,BLK 80 STRATHMORE AVENUE,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,4.5,N,1.2452452866185868,103.85800694817476
Q48,BLK 150A MEI CHIN ROAD,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.2394980945086096,103.85901340351542
Q49,- MEI CHIN ROAD,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.0,N,1.2387519034470014,103.85895031996026
Q5A,BLKS 166-171 STIRLING ROAD,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.2391503177454095,103.85482273307704
Q5S,BLK 165-166 STIRLING ROAD,SURFACE CAR PARK,COUPON PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.238123168914451,103.85446395511269
Q51,BLK 39 TANGLIN HALT ROAD,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.0,N,1.2350183860583337,103.86157118448985
Q52,BLK 33-34 TANGLIN HALT ROAD,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.0,N,1.2348669168327375,103.86043158685469
Q55,BLK 61/66 COMMONWEALTH DRIVE,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,4.5,N,1.2323656036175177,103.86232285970526
Q58,BLK 46-3 COMMONWEALTH DRIVE,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0.0,N,1.2336023073526745,103.86371378516984
Q59,BLK 47/49 TANGLIN HALT ROAD,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.2335310336057559,103.86455291404515
Q65,BLK 115A COMMONWEALTH DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.2347077745706059,103.86911333845751
Q65A,BLK 96-111 AND 115 COMMONWEALTH CRESCENT,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.2371076819990767,103.8706672710925
Q66,BLK 117 COMMONWEALTH DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.2354560816252016,103.87028667878714
Q67,BLK 116-118 COMMONWEALTH CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.23650884643965,103.87075167895335
Q68,BLK 110 COMMONWEALTH CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0.0,N,1.2349602158532174,103.87045819986531
Q70,BLK 99/102 COMMONWEALTH CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0.0,N,1.2365148164191124,103.87092381805913
Q72,BLK 96 COMMONWEALTH CRESCENT,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.0,N,1.2368648140212508,103.87007626416312
Q73,BLK 91/92 COMMONWEALTH DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0.0,N,1.2363561906604634,103.86983811446186
Q75M,BLK 10A HOLLAND DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.229620071624736,103.87188343749672
Q77M,BLK 18 HOLLAND DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,12,2.15,N,1.227925854380381,103.87514350980229
Q8,BLK 19/23A/23B QUEENS CLOSE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.2355285175601565,103.85786904007182
Q80,BLK 45/46/47 HOLLAND DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N,1.2286164446924377,103.87210654006407
Q81,BLK 43 HOLLAND DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N,1.2290820514899767,103.87111326119901
Q84,BLK 2/4/6/31/32 HOLLAND CLOSE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2326136340025913,103.87036238493333
Q85,NORTH BUONA VISTA ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.2279561603403226,103.87180660186067
Q86,BLK 148A MEI LING STREET,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.8,N,1.2398589266036688,103.85822378755621
Q87,BLK 5A HOLLAND CLOSE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.0,N,1.2321760441616536,103.8724467797641
Q88,BLK 19A QUEEN'S CLOSE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,1.2365252501714836,103.85666103620233
Q89,BLK 7B COMMONWEALTH AVENUE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.0,N,1.2309797322014002,103.86983098959442
Q92,BLK 82 STRATHMORE AVENUE,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,4.5,N,1.2445019720014159,103.85845697955732
Q93,BLK 83 STRATHMORE AVENUE,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,4.5,N,1.2440781905832294,103.858598001834
Q94,BLK 102 COMMONWEALTH CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0.0,N,1.2365267263779622,103.87121367094082
Q95,BLK 98 COMMONWEALTH CRESCENT,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.0,N,1.2372383796649125,103.87030114359537
Q96,BLK 181-184 STIRLING ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.2403957656384466,103.85900241063361
Q97,BLK 64 COMMONWEALTH DRIVE,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.0,N,1.2333307328880514,103.86282997885074
Q98,BLK 55 COMMONWEALTH DRIVE,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,4.5,N,1.2332292957635858,103.86097997953767
Q99,BLK 89 COMMONWEALTH DRIVE,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,4.5,N,1.2350506441411504,103.86888651015043
RCM,BLK 638 VEERASAMY ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.0,N,1.2916727891390165,103.87078957748056
RC1,BLK 101/102 JALAN RAJAH,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.28784890126842,103.89198861127359
RC2,BLK 103/104 JALAN RAJAH,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.289375665288246,103.8911351267774
RC3,BLK 105/108 JALAN RAJAH,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2908787930050143,103.89172912078314
RHM,BLK 88A REDHILL CLOSE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N,1.2546599658850273,103.8501765085675
RHM2,BLK 70A REDHILL CLOSE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2529788570564684,103.8507173123353
RHM3,BLK 73 REDHILL ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,17,2.15,N,1.2533471526565982,103.85161898838797
RHM4,BLK 74 REDHILL ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2518816882048398,103.85169151192467
RHS,BLK 75A/B REDHILL ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.2516795604901507,103.85198941844307
SAM,BLK 60A STRATHMORE AVENUE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2479163821149135,103.85623676004712
SAM2,BLK 61 STRATHMORE AVENUE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,12,2.15,N,1.247040589609694,103.85763072034757
SB1,BLK 306B CANBERRA ROAD,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.15,N,1.2581570405058333,104.0091603696992
SB10,BLK 481A SEMBAWANG DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,1.2514496182994248,104.01513681930888
SB11,BLK 476A SEMBAWANG DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,1.2527267970854365,104.01442153746602
SB12,BLK 424A CANBERRA ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2551430742481706,104.01580180627982
SB13,BLK 404A ADMIRALTY LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2524886633822747,104.01698129005167
SB14,BLK 406A SEMBAWANG DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,1.2535020244001653,104.01503891286723
SB15,BLK 358A ADMIRALTY DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,16,2.15,N,1.2527588530224012,104.01159113640537
SB16,BLK 339 SEMBAWANG CLOSE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N,1.2533795867204016,104.01095057714137
SB17,BLK 504 MONTREAL DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2597998992096038,104.0135597210923
SB18,BLK 469/469A/469B ADMIRALTY DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.05,N,1.2497474888467888,104.01159487226447
SB19,BLK 501 WELLINGTON CIRCLE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.257452620196549,104.01423868726967
SB2,BLK 316A SEMBAWANG VISTA,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2565925300942142,104.00912852730144
SB20,BLK 505 CANBERRA LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.258610429481454,104.01292737080188
SB21,BLK 467/467A/467B ADMIRALTY DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.05,N,1.2502849389991495,104.01442666229192
SB22,BLK 351 CANBERRA ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2563764197475733,104.01381727131199
SB23,BLK 354 ADMIRALTY DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2544652698194496,104.01269228522416
SB24,BLK 506 WELLINGTON CIRCLE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2596402154972985,104.01505877033392
SB25,BLK 588 MONTREAL DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N,1.2609039876873809,104.01284637198401
SB26,BLK 484A ADMIRALTY LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.251279296095171,104.01908020872744
SB27,BLK 492A ADMIRALTY LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.253465722592855,104.01923672830652
SB28,BLK 482A ADMIRALTY LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2516965081740703,104.01748889896463
SB29,BLK 508 WELLINGTON CIRCLE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.25617060714954,104.01566870620786
SB3,BLK 325A SEMBAWANG CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.254851413414717,104.00764540067844
SB30,BLK 466 SEMBAWANG DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,1.249584391576642,104.01808961015804
SB31,BLK 463 SEMBAWANG DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,6,2.15,N,1.2505741014108922,104.01814788566503
SB32,BLK 591 MONTREAL LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,1.2624406623047433,104.01302214392653
SB33,BLK 592 MONTREAL LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,1.2635667812203952,104.01386377796095
SB34,BLK 462 SEMBAWANG DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,3.8,N,1.2495661459749436,104.01727187221974
SB35,BLK 120 CANBERRA CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,1.2677627783427465,104.00840219716565
SB36,BLK 121 CANBERRA STREET,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1,2.35,N,1.2701584768087468,104.01010902403564
SB37,BLK 106 CANBERRA STREET,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,1.268906722940224,104.01181338088433
SB38,BLK 129 CANBERRA STREET,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N,1.2688608035253854,104.0073356727753
SB39,BLK 108 CANBERRA WALK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N,1.2683700435185203,104.01045561464176
SB4,BLK 313A SEMBAWANG DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.257368046771846,104.00677523715383
SB40,BLK 115 CANBERRA WALK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.264845637325112,104.00875511238353
SB41,BLK 361 SEMBAWANG CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,1.2497991302270977,104.00886448446549
SB42,BLK 365 SEMBAWANG CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,1.2523208472176814,104.00705954554503
SB43,BLK 117 CANBERRA CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,7,2.15,N,1.2660663903604523,104.00775873835359
SB44,BLK 102 CANBERRA STREET,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.268253107473687,104.01447365095991
SB45,BLK 132 CANBERRA VIEW,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N,1.2669146661131538,104.00608549176718
SB46,BLK 126 CANBERRA STREET,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,1.2705351954478792,104.00867212243863
SB47,BLK 109 CANBERRA WALK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.265896607593706,104.01126205952089
SB5,BLK 322A SEMBAWANG CLOSE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.254272035492158,104.0088020172948
SB6,BLK 306A CANBERRA ROAD,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.15,N,1.2586581582536,104.00802866701808
SB7,BLK 336A SEMBAWANG CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2510611567858807,104.00930738058402
SB8,BLK 330A SEMBAWANG CLOSE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.2532950990474714,104.0097876857849
